cve,repo,commit list,Merge,Mirror,Better Solution,Fixing-of-Fixing,Collaboration,Separation
CVE-2022-23559,tensorflow_tensorflow,"a4e401d
1de4972
f19be71",,,,,,"['a4e401da71458d253b05e41f28637b65baf64be4', '1de49725a5fc4e48f1a3b902ec3599ee99283043', 'f19be71717c497723ba0cea0379e84f061a75e01']"
CVE-2022-23589,tensorflow_tensorflow,"0a365c0
045deec",,,,,,"['0a365c029e437be0349c31f8d4c9926b69fa3fa1', '045deec1cbdebb27d817008ad5df94d96a08b1bf']"
CVE-2022-23949,keylime_keylime,"e429e95
65c2b73
387e320",,,,,"{'65c2b737129b5837f4a03660aeb1191ced275a57': ['e429e95329fc60608713ddfb82f4a92ee3b3d2d9', '387e320dc22c89f4f47c68cb37eb9eec2137f34b']}",
CVE-2022-24375,node-opcua_node-opcua,"3fd46ec
7b5044b",,,,,,"['3fd46ec156e7718a506be41f3916310b6bdd0407', '7b5044b3f5866fbedc3efabd05e407352c07bd2f']"
CVE-2022-24710,WeblateOrg_weblate,"f6753a1
9e19a84
22d577b",,,,,,"['f6753a1a1c63fade6ad418fbda827c6750ab0bda', '9e19a8414337692cc90da2a91c9af5420f2952f1', '22d577b1f1e88665a88b4569380148030e0f8389']"
CVE-2022-24719,fluture-js_fluture-node,"0c99bc5
125e447",,,,,"{""125e4474f910c1507f8ec3232848626fbc0f55c4"": [""0c99bc511533d48be17dc6bfe641f7d0aeb34d77""]}",
CVE-2022-24772,digitalbazaar_forge,"3f0b49a
bb822c0",,,,,,"['3f0b49a0573ef1bb7af7f5673c0cfebf00424df1', 'bb822c02df0b61211836472e29b9790cc541cdb2']"
CVE-2022-24775,guzzle_psr7,"e55afaa
9a96d9d",,{'e55afaa3fc138c89adf3b55a8ba20dc60d17f1f1': ['9a96d9db668b485361ed9de7b5bf1e54895df1dc']},,,,
CVE-2022-24798,irrdnet_irrd,"fdffaf8
0e41bae",,{'0e41bae8d3d27316381a2fc7b466597230e35ec6': ['fdffaf8dd71713f06e99dff417e6aa1e6fa84b70']},,,,
CVE-2022-24848,dhis2_dhis2-core,"ef04483
3b245d0",,{'ef04483a9b177d62e48dcf4e498b302a11f95e7d': ['3b245d04a58b78f0dc9bae8559f36ee4ca36dfac']},,,,
CVE-2022-2522,vim_vim,"5fa9f23
b9e7173",,,,,,"['5fa9f23a63651a8abdb074b4fc2ec9b1adc6b089', 'b9e717367c395490149495cf375911b5d9de889e']"
